X1	X2	X3
ENSG00000286619.1	HML3_1q32.1b	132.955492104531
ENSG00000230521.1	HML3_6p22.1	118.560235342986
HML3_6p22.1	ENSG00000230521.1	117.219420597005
ENSG00000285875.1	MER61_6q24.1b	111.126459381842
HERVFH21_Xq11.2b	ENSG00000278847.1	95.4395913587685
ENSG00000099725.14	HERV3_Yq11.223b	90.6318136981392
ENSG00000283646.2	HML6_3p21.31b	89.0373416925123
HERVW_1q32.1	HERVH_1q32.1b	88.7166974189089
MER4_5p12c	ENSG00000286656.1	88.0810479573695
ENSG00000255422.3	ERVLE_11q23.3c	87.1092119008849
PRIMA41_17q21.31b	HML4_17q21.31	87.0582775847797
ENSG00000283633.1	HERVH_22q11.1	86.3018397277498
ERVLE_11q23.3c	ENSG00000255422.3	86.1128330395377
ENSG00000138642.14	HERV4_4q22.1	85.0247562953249
HERVW_6q15	ENSG00000234426.3	84.856611825218
ENSG00000285799.1	HML3_6p22.1	84.7158870232976
HML3_1q32.1b	ENSG00000286619.1	83.7398706992596
MER4B_12p13.31c	ENSG00000172322.14	83.7295359536423
HERVW_6q15	ENSG00000220267.1	83.6175385701762
ENSG00000250081.1	HERVL_5q12.3	83.0553638832383
LTR25_Yq11.223g	ENSG00000267793.1	82.9005262230925
ENSG00000165246.14	HERV3_Yq11.223b	81.4481797130939
MER4_Yq11.221e	HERVL_Yq11.223a	81.2012587186471
ENSG00000099725.14	HERVL_Yp11.2a	79.671069184688
HERVW_1q32.1	ENSG00000286619.1	78.98445339835
ENSG00000123838.11	ERV316A3_1q32.2a	78.3850783218187
HERVH_19q13.31	ENSG00000231412.2	77.3169580089906
HML1_1q32.1	HERVH_1q32.1b	77.0138250408405
HERVL18_3p21.31a	ENSG00000283646.2	76.7665831787741
HERV4_4q22.1	ENSG00000184979.10	75.9741669839456
HML5_12q23.1	ENSG00000238105.7	75.8754831234701
HERVW_1q32.1	HML3_1q32.1b	75.4970774427443
HERV4_4q22.1	ENSG00000138642.14	75.3570837547965
ENSG00000131002.12	LTR19_Yq11.223a	75.0500074583864
ENSG00000231412.2	HERVH_19q13.31	74.5964081365059
LTR19_Yq11.223a	LTR25_Yq11.223h	74.2251635019735
ENSG00000231535.7	HERV3_Yq11.223b	73.8559015300347
PRIMA41_17q21.31a	HML4_17q21.31	73.2585560632116
ENSG00000283646.2	HERVL18_3p21.31b	72.3941999444921
ERV316A3_1q32.2a	ENSG00000123838.11	72.3243305777452
MER4_12q12a	MER4_12q12b	71.2844443044092
ENSG00000067048.17	HERV9_Yq11.221d	70.3581086177809
ERV316A3_11q13.1a	ENSG00000181908.5	70.2716157003735
HML1_1q32.1	HERVW_1q32.1	70.253577996859
ENSG00000225431.1	ERV316A3_21q22.3b	70.2115747009248
HML3_1q32.1b	HERVW_1q32.1	70.0018969012354
ENSG00000067646.12	LTR25_Yq11.223h	69.7660927564081
HUERSP3_11p15.1	ENSG00000188211.9	69.6371868481575
MER34B_4q31.3	HML3_4q31.3	68.9524816116377
ERV316A3_6p22.1l	ERV316A3_6p22.1i	68.7882572142581
HERVW_Yq11.222b	LTR25_Yq11.223h	68.6480085732561
ENSG00000067048.17	LTR25_Yq11.223g	67.3951494839287
ENSG00000114374.13	LTR19_Yq11.223a	67.3687755147865
ENSG00000286619.1	HERVW_1q32.1	67.0354138556262
ERVLE_1q24.2	ENSG00000197965.12	66.8181506925416
HML3_6p22.1	ENSG00000285799.1	66.8051279973477
HML1_1q32.1	HML3_1q32.1b	66.1408753640829
MER4_12q12b	ENSG00000223914.4	64.6549776706948
HERVK11_1p13.3	ENSG00000213366.13	64.5928682469542
HERVH_12p13.31e	MER4B_12p13.31c	64.4792930341169
HERV3_Yq11.223b	LTR25_Yq11.223h	64.173256884717
ENSG00000184368.16	HERVL_Yp11.2a	63.530604945503
ERV316A3_7q31.1c	ENSG00000084623.11	63.4178097118362
ENSG00000131686.15	HERVFH21_1p36.23	63.0475955476721
ERV316A3_21q22.3b	ENSG00000225431.1	63.0019022471039
HERVL_5q12.3	ENSG00000123219.13	62.8267616227131
HERVL18_3p21.31b	ENSG00000283646.2	62.7389354629108
MER41_7q22.3a	ENSG00000243797.6	62.7254217974492
ENSG00000172322.14	HERVH_12p13.31e	62.6716440589505
HERVE_12p13.31a	ENSG00000286504.1	62.57514316078
ERV316A3_12q24.13	ENSG00000225964.6	62.0910906669667
HERVL_5q12.3	ENSG00000250081.1	62.0402345662618
ERV316A3_12q24.13	ENSG00000134326.11	61.9134678738806
PRIMA41_17q21.31a	PRIMA41_17q21.31b	61.5305009334229
ENSG00000223915.1	LTR25_Yq11.223h	61.2282708541634
ENSG00000283646.2	HERVL18_3p21.31a	61.1063336775534
MER101_2p25.2	ENSG00000205413.8	61.1034809130766
ENSG00000251661.3	HERV3_11p15.5	60.9141124390959
ERV316A3_3q27.3e	ENSG00000183785.15	60.9068359057544
ENSG00000230257.4	HERVH48_7q22.1	60.8851411185394
MER101_6q27e	MER101_6q27d	60.8673782465697
ENSG00000111335.12	HERV4_4q22.1	60.7936858481446
HERVK11_4q13.2	ENSG00000213759.10	60.6048279840136
ERV316A3_12q24.13	ENSG00000137959.16	60.4664122922611
ENSG00000177335.11	PRIMA41_8q24.3	60.3993319520331
ENSG00000250696.5	HERVK11_4q13.2	60.3808410176688
ENSG00000261812.6	PRIMA41_16q24.3	60.3706232359178
ENSG00000123219.13	HERVL_5q12.3	60.307577756917
ERV316A3_21q22.3b	ENSG00000134716.11	60.1209458319936
ENSG00000278847.1	HERV3_Yq11.223b	60.1120023114667
LTR25_Yq11.223h	PABLA_Yp11.2	59.7550542579394
HUERSP1_7q21.12	ENSG00000228113.7	59.7295568143093
ENSG00000274173.1	HERVE_20p11.21b	59.3993059748833
MER34B_1q23.3b	ENSG00000244682.7	59.3799970756505
ERV316A3_13q13.3c	ENSG00000279511.1	58.9311992978246
ENSG00000143368.10	MER41_1p36.12	58.917975362788
HARLEQUIN_7q33a	HERV3_7q33	58.7157602251929
HERVH48_Xp11.21	ENSG00000286977.1	58.6831807327681
ERVLE_1q32.2a	ENSG00000123838.11	58.6324772665858
HERVH_1q32.1b	HML3_1q32.1b	58.6055000819863
